El Salvador ,ONICYT,"ONICYT se encarga de diseñar indicadores sobre ciencia y tecnología, recoger y analizar información necesaria para tomar decisiones públicas, y llevar a cabo estudios de prospectiva.",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",Otros,1,,
El Salvador ,Repositorios Universitarios,Hay un total de 7 universidades que cuentan con un repositorio institucional de acceso abierto.,https://ri.ues.edu.sv,null,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,null,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,Otros,1,,
El Salvador ,Mesa Nacional de Investigación de Educación Superior (MNIES),"MINED creó la Mesa Nacional de Investigación de Educación Superior (MNIES), cuya función es la coordinación de la producción y diseminación de los resultados del conocimiento científico procedentes de la educación superior.",https://www.mined.gob.sv/2021/12/13/mined-lanza-mesa-nacional-de-investigacion-en-educacion-superior/,educacion@mined.gob.sv,1-Conocimiento científico abierto,Producción científica,null,Recursos Educativos Abiertos,null,null,2-Participación abierta de los agentes sociales ,Ciencia Ciudadana,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
El Salvador ,CONACyT,"El nuevo CONACyT es la entidad que realiza el seguimiento, evaluación y ejecución de la Política Nacional de Innovación, Ciencia y Tecnología y del Plan Nacional de Ciencia y Tecnología.",https://conacyt.gob.sv,oir@conacyt.gob.sv,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,null,null,null,1,,
El Salvador ,"Política Nacional de Innovación, Ciencia y Tecnología","La Política Nacional de Innovación, Ciencia y Tecnología tiene como objetivo fomentar y coordinar la investigación científica y tecnológica para contribuir al desarrollo sostenible y al bienestar social.",https://unctad.org/system/files/non-official-document/Politica%20ICT%20version%20digital.pdf,null,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,Ciencia Ciudadana,null,null,null,null,null,null,null,null,null,null,5-DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
El Salvador ,Agenda Digital Nacional,La Agenda Digital Nacional 2020-2030 está compuesta por un conjunto de acciones que buscan integrar a todos los actores que participan en el desarrollo del país a través de la innovación y la aplicación de las TIC.,https://www.innovacion.gob.sv,null,null,null,null,null,null,null,2-Participación abierta de los agentes sociales ,Ciencia Ciudadana,null,null,null,null,null,null,null,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,Innovación Abierta,null,null,null,null,7-OBJETIVOS UNESCO,null,null,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,null,Otros,1,,
El Salvador ,Estrategia de I+D+i,"Existe una Estrategia de Investigación, Desarrollo e Innovación (I+D+i) en la que se espera que se incluya alguna mención específica al acceso abierto a contenidos científicos.",https://www.innovacion.gob.sv/innovacion.php,null,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,null,1,,
El Salvador ,Política Nacional de Popularización de la Ciencia y Tecnología,Se ha desarrollado una Política Nacional de Popularización de la Ciencia y Tecnología con el objetivo de divulgar la ciencia en todos los niveles de la sociedad.,https://www.transparencia.gob.sv/institutions/capres/documents/372512/download,null,1-Conocimiento científico abierto,null,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,2-Participación abierta de los agentes sociales ,Ciencia Ciudadana,null,null,null,3-Diálogos abiertos con otros sistemas de conocimiento,Pueblos Indígenas,Investigadores Marginados,Comunidades Locales,4-Infraestructuras de la ciencia abierta,Virtuales,null,5-DIMENSIONES NO UNESCO,null,null,Investigación abierta y reproducible,6-Cuerpos Normativos,Nacionales,null,7-OBJETIVOS UNESCO,null,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,null,1,,
El Salvador ,LA Referencia,"Este país ha generado recientemente iniciativas dirigidas al desarrollo de repositorios digitales, constituyendo un gran avance la creación del Consorcio de Bibliotecas Universitarias de El Salvador - CBUES -, el cual reúne a las bibliotecas de nueve universidades salvadoreñas y a la Biblioteca Nacional con el fin de estimular el tema de Acceso Abierto en forma colectiva.

",https://www.lareferencia.info/es/nodos/el-salvador,cbues.org.sv,1-Conocimiento científico abierto,null,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,null,Ciencia Ciudadana,null,null,null,null,null,null,null,Infraestructuras de la ciencia abierta,Virtuales,null,DIMENSIONES NO UNESCO,null,null,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,Otros,1,,
Costa Rica,Evaluación de Revistas Científicas,"Es una herramienta para la medición de la calidad de las revistas Costarricenses por medio de indicadores organizados en categorías. Su propósito es Medir la calidad de las revistas en aspectos de rigurosidad, sistematicidad, originalidad y posibilidad de comprobación del contenido de los artículos, considerando para ello la gestión editorial, la visibilidad y el contenido.",https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-revistas/ ,conocimientoabierto@conare.ac.cr,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,null,null,Otros,1,,
Costa Rica,RDA Costa Rica Node,"El propósito del Grupo Costa Rica es el de ser un puente entre la comunidad de RDA y aquellas personas que forman parte de universidades, instituciones, grupos de trabajo o de algún proyecto que busquen generar, vincular, compartir y reutilizar datos de investigación desde la práctica de datos abiertos,en Costa Rica y en la región. Además, por su contexto geográfico y político, Costa Rica puede servir de puente entre países del Caribe, Norte, Sur y Centroamérica, para mejorar la comunicación, facilitar el intercambio de recursos y capacidades técnicas.",https://www.rd-alliance.org/groups/rda-costa-rica,conocimientoabierto@conare.ac.cr,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,null,null,null,null,null,null,null,null,null,null,Infraestructuras de la ciencia abierta,Virtuales,null,DIMENSIONES NO UNESCO,null,null,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,Invertir en infraestructuras y servicios de ciencia abierta,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",Otros,1,,
Costa Rica,Evaluación de Repositorios,Es un instrumento para autoevaluar los repositorios que integran Kímuk.,https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-repositorios/,conocimientoabierto@conare.ac.cr,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,null,null,null,null,null,null,null,null,null,null,null,Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,Invertir en infraestructuras y servicios de ciencia abierta,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",null,1,,
Costa Rica,Procesos de capacitación en Ciencia Abierta,"En temas como: gestión editorial, ciencia abierta, gestión de datos de investigación, revisión por pares abierta, escritura científica, uso de licencias de acceso abierto, sistemas CRIS, entre otros.
",https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-revistas/ ,conocimientoabierto@conare.ac.cr,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,Programas informáticos de código abierto y código fuente abierto,Equipos informáticos de código abierto,Participación abierta de los agentes sociales ,Ciencia Ciudadana,Financiación Colectiva,Producción Colectiva,Voluntariado Científico,Diálogos abiertos con otros sistemas de conocimiento,Pueblos Indígenas,Investigadores Marginados,Comunidades Locales,Infraestructuras de la ciencia abierta,Virtuales,Fisicas,DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,Innovación Abierta,Investigación abierta y reproducible,null,null,null,7-OBJETIVOS UNESCO,null,null,"Invertir en recursos humanos, formación, educación, alfabetización digital y desarrollo de capacidades para la ciencia abierta",null,null,Otros,1,,
Costa Rica,Estado de la gestión de datos de investigación,"Es un estado que permite analizar las prácticas y percepciones de las personas investigadoras, sobre gestión de datos de investigación en cada universidad perteneciente a CONARE.",https://conocimientoabierto.conare.ac.cr/,conocimientoabierto@conare.ac.cr,1-Conocimiento científico abierto,null,Datos abiertos de investigación,null,null,nulll,null,null,null,null,null,null,null,null,null,Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,null,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",null,1,,
Costa Rica,LATINDEX Costa Rica,"El Directorio Latindex es una lista de la totalidad de las revistas de cada uno de los países miembros del sistema. Todas las revistas tienen derecho a ser incluidas; el único requisito es que la revista tenga ISSN. El Catálogo Latindex contiene las revistas que han cumplido con los requisitos de calificación, y por ende se consideran revistas con procesos reconocidos de gestión editorial y de contenidos.",https://ucrindex.ucr.ac.cr/sistema-de-evaluacion-de-revistas/evaluacion-latindex-para-revistas-en-costa-rica/,revistas@ucr.ac.cr,1-Conocimiento científico abierto,Producción científica,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,Invertir en infraestructuras y servicios de ciencia abierta,null,null,"Promover la cooperación internacional y multipartita en el contexto de la ciencia abierta y con miras a reducir las brechas digital, tecnológica y de conocimientos.",null,1,,
Costa Rica,SciELO Costa Rica,"Es un índice enfocado en orientar y fortalecer el desarrollo de la calidad científica de la Colección SciELO, y contribuir al aumento sostenible de su visibilidad e impacto como un todo e individualmente de las revistas que indexa y publica, de acuerdo con los estándares internacionales de indexación, publicación, interoperabilidad y evaluación del rendimiento de las revistas de calidad.",https://www.scielo.sa.cr/scielo.php,mmorales@.binasss.sa.cr,1-Conocimiento científico abierto,Producción científica,null,null,Programas informáticos de código abierto y código fuente abierto,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,null,1,,
Costa Rica,"Kímuk, Repositorio Nacional de Costa Rica","El repositorio Nacional Kímuk es una herramienta de acceso abierto impulsada por el Consejo Nacional de Rectores (CONARE) cuyo objetivo es ofrecer acceso en línea a la producción académica y científica nacional como un insumo crucial para el desarrollo científico y tecnológico del país y por ello su visibilidad y acceso debe ser prioritaria. A su acervo se pueden sumar otros repositorios institucionales que cumplan las normas establecidas y por ello invitamos a otras organizaciones a unirse a esta misión. El vocablo Kímuk significa cooperación en lengua Bribri, uno de los grupos indígenas de Costa Rica. El nombre resume una forma de entender la vida y refleja, como otros conceptos de esta cultura, la importancia del trabajo en equipo y la colaboración para lograr metas comunes.",https://kimuk.conare.ac.cr/,kimuk@conare.ac.cr,1-Conocimiento científico abierto,Producción científica,Datos abiertos de investigación,Recursos Educativos Abiertos,Programas informáticos de código abierto y código fuente abierto,Equipos informáticos de código abierto,Participación abierta de los agentes sociales ,Ciencia Ciudadana,null,null,null,Diálogos abiertos con otros sistemas de conocimiento,Pueblos Indígenas,null,null,Infraestructuras de la ciencia abierta,Virtuales,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,null,Invertir en infraestructuras y servicios de ciencia abierta,null,null,null,null,1,,
Costa Rica,"Sistema de Información Nacional de Ciencia y Tecnología
",El CONARE y el SINCYT tienen herramientas para evaluar el rendimiento individual e institucional y recoger datos relevantes del sistema CTI de manera centralizada.,https://www.sincyt.go.cr/,maria.brenes@micit.go.cr ,null,null,null,null,null,null,Participación abierta de los agentes sociales ,null,Financiación Colectiva,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,null,1,,
Costa Rica,Declaración de Ciencia Abierta de las universidades públicas.,"Es un documento donde las 5 universidades públicas de Costa Rica, que son las que generan más del 80% de la investigación de Costa Rica, abrazan en conjunto los pilares que la recomendación de la UNESCO sobre Ciencia Abierta promueve para implementar la Ciencia Abierta en Costa Rica.",https://conocimientoabierto.conare.ac.cr/,conocimientoabierto@conare.ac.cr,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,DIMENSIONES NO UNESCO,Evaluación abierta de la Ciencia,null,null,null,null,null,7-OBJETIVOS UNESCO,Crear un entorno normativo propicio para la ciencia abierta,null,null,Fomentar una cultura de la ciencia abierta y armonizar los incentivos en favor de la ciencia abierta,null,null,1,,
