,,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0304,0305,0401,0402,0403,0501,0502,0601,0602,0603,0604,0605,0606,,,,,,,,,,,,,,,,,,,,,,,,,,
CR,Evaluación de Repositorios,Es un instrumento para autoevaluar los repositorios que integran Kímuk.,https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-repositorios/,conocimientoabierto@conare.ac.cr,"0101,0102,0103,0304,0601,0602,0605",x,x,x,,,,,,,,,,x,,,,,,,x,x,,,x,,,0101,0102,0103,,,,,,,,,,0304,,,,,,,0601,0602,,,0605,
CR,Procesos de capacitación en Ciencia Abierta,"En temas como: gestión editorial, ciencia abierta, gestión de datos de investigación, revisión por pares abierta, escritura científica, uso de licencias de acceso abierto, sistemas CRIS, entre otros.
",https://conocimientoabierto.conare.ac.cr/index.php/evaluacion-de-revistas/ ,conocimientoabierto@conare.ac.cr,"0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0304,0305,0401,0402,0403,0603",x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,x,,,,,0101,0102,0103,0104,0105,0201,0202,0203,0204,0301,0302,0303,0304,0305,0401,0402,0403,,,,,0603,,,
CR,Estado de la gestión de datos de investigación,"Es un estado que permite analizar las prácticas y percepciones de las personas investigadoras, sobre gestión de datos de investigación en cada universidad perteneciente a CONARE.",https://conocimientoabierto.conare.ac.cr/,conocimientoabierto@conare.ac.cr,"0102,0304,0605",,x,,,,,,,,,,,x,,,,,,,,,,,x,,,,0102,,,,,,,,,,,0304,,,,,,,,,,,0605,
CR,LATINDEX Costa Rica,"El Directorio Latindex es una lista de la totalidad de las revistas de cada uno de los países miembros del sistema. Todas las revistas tienen derecho a ser incluidas; el único requisito es que la revista tenga ISSN. El Catálogo Latindex contiene las revistas que han cumplido con los requisitos de calificación, y por ende se consideran revistas con procesos reconocidos de gestión editorial y de contenidos.",https://ucrindex.ucr.ac.cr/sistema-de-evaluacion-de-revistas/evaluacion-latindex-para-revistas-en-costa-rica/,revistas@ucr.ac.cr,"0101,0601,0602,0605",x,,,,,,,,,,,,,,,,,,,x,x,,,x,,,0101,,,,,,,,,,,,,,,,,,,0601,0602,,,0605,
CR,SciELO Costa Rica,"Es un índice enfocado en orientar y fortalecer el desarrollo de la calidad científica de la Colección SciELO, y contribuir al aumento sostenible de su visibilidad e impacto como un todo e individualmente de las revistas que indexa y publica, de acuerdo con los estándares internacionales de indexación, publicación, interoperabilidad y evaluación del rendimiento de las revistas de calidad.",https://www.scielo.sa.cr/scielo.php,mmorales@.binasss.sa.cr,"0101,0104,0602",x,,,x,,,,,,,,,,,,,,,,,x,,,,,,0101,,,0104,,,,,,,,,,,,,,,,,0602,,,,
CR,"Kímuk, Repositorio Nacional de Costa Rica","El repositorio Nacional Kímuk es una herramienta de acceso abierto impulsada por el Consejo Nacional de Rectores (CONARE) cuyo objetivo es ofrecer acceso en línea a la producción académica y científica nacional como un insumo crucial para el desarrollo científico y tecnológico del país y por ello su visibilidad y acceso debe ser prioritaria. A su acervo se pueden sumar otros repositorios institucionales que cumplan las normas establecidas y por ello invitamos a otras organizaciones a unirse a esta misión. El vocablo Kímuk significa cooperación en lengua Bribri, uno de los grupos indígenas de Costa Rica. El nombre resume una forma de entender la vida y refleja, como otros conceptos de esta cultura, la importancia del trabajo en equipo y la colaboración para lograr metas comunes.",https://kimuk.conare.ac.cr/,kimuk@conare.ac.cr,"0101,0102,0103,0104,0105,0201,0301,0304,0602",x,x,x,x,x,x,,,,x,,,x,,,,,,,,x,,,,,,0101,0102,0103,0104,0105,0201,,,,0301,,,0304,,,,,,,,0602,,,,
CR,"Sistema de Información Nacional de Ciencia y Tecnología
",El CONARE y el SINCYT tienen herramientas para evaluar el rendimiento individual e institucional y recoger datos relevantes del sistema CTI de manera centralizada.,https://www.sincyt.go.cr/,maria.brenes@micit.go.cr ,"0202,0601,0604",,,,,,,x,,,,,,,,,,,,,x,,,x,,,,,,,,,,0202,,,,,,,,,,,,,0601,,,0604,,
CR,Declaración de Ciencia Abierta de las universidades públicas.,"Es un documento donde las 5 universidades públicas de Costa Rica, que son las que generan más del 80% de la investigación de Costa Rica, abrazan en conjunto los pilares que la recomendación de la UNESCO sobre Ciencia Abierta promueve para implementar la Ciencia Abierta en Costa Rica.",https://conocimientoabierto.conare.ac.cr/,conocimientoabierto@conare.ac.cr,"0401,0601,0604",,,,,,,,,,,,,,,x,,,,,x,,,x,,,,,,,,,,,,,,,,,,0401,,,,,0601,,,0604,,
CR,LA Referencia ,,https://www.lareferencia.info/es/nodos/costa-rica,kimuk@conare.ac.cr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 CL,SciELO Chile,"Representó el primer paso hacia el Acceso Abierto en el país. SciELO Chile se centró en la creación de una plataforma en línea que albergara revistas científicas chilenas de alta calidad, permitiendo a los investigadores y al público en general acceder a investigaciones de manera gratuita",https://www.scielo.cl/,scielo@anid.cl,"0101,0104,0602",X,,,x,,,,,,,,,,,,,,,,,X,,,,,,0101,,,0104,,,,,,,,,,,,,,,,,0602,,,,
 CL,Repositorios y Portal del Investigador,"Chile amplió su alcance y comenzó a trabajar en el desarrollo de repositorios institucionales y un portal del investigador (curriculum). Estos repositorios almacenan y proporcionan acceso abierto a las publicaciones científicas y otras investigaciones realizadas en instituciones académicas chilenas, mejorando la visibilidad de la producción científica nacional.",https://www.conicyt.cl/fondef/repositorio-documentos-fondef/,,"0101,0601,0604",X,,,,,,,,,,,,,,,,,,,X,,,X,,,,0101,,,,,,,,,,,,,,,,,,,0601,,,0604,,
 CL,Dataciencia,"Ofrece métricas de producción científica asociadas a la publicación de datos. Esto incentiva a los investigadores a compartir datos de investigación de manera abierta, lo que contribuye a la transparencia y la replicabilidad en la ciencia.",https://www.dataciencia.com/,contacto@dataciencia.com,"0101,0604,0605",X,,,,,,,,,,,,,,,,,,,,,,X,X,,,0101,,,,,,,,,,,,,,,,,,,,,,0604,0605,
 CL,Acceso a Publicaciones Científicas,"El país se ha esforzado en garantizar un acceso más amplio y gratuito a las publicaciones científicas, no solo a nivel nacional sino también internacional.",https://www.conicyt.cl/informacioncientifica/revistas-cientificas-chilenas/,,"0101,0602,0605",X,,,,,,,,,,,,,,,,,,,,X,,,X,,,0101,,,,,,,,,,,,,,,,,,,,0602,,,0605,
 CL, LA Referencia,"Ha generado iniciativas nacionales para fomentar el uso de repositorios abiertos, junto con impulsar prácticas de acceso abierto y ciencia abierta en el territorio, a través de instrumentos financiados por la ANID y por la implementación de la Política de Acceso Abierto a la Información Científica y a Datos de Investigación. También es signatario de los principales acuerdos de LA Referencia.",https://www.lareferencia.info/es/nodos/chile,https://www.lareferencia.info/es/contacto,"0101,0601,0603,0605",X,,,,,,,,,,,,,,,,,,,X,,X,,X,,,0101,,,,,,,,,,,,,,,,,,,0601,,0603,,0605,
 CL,Acciones de Formación y Capacitación.,"1) Webinar de “Sensibilización y capacitación a autoridades para estandarizar los conceptos de Ciencia Abierta” , Bianca, Brasil. 2) Programa Capacitación de “Ciencia Abierta en las Bibliotecas Académicas”  en conjunto Costa Rica y Ecuador. 3) Webinar “Uso de licencias Creative Commons  en revistas digitales y repositorios de las instituciones educativas” , Remedios Melero, España. 4) Capacitación “Evaluación de Repositorios de Acceso Abierto” , Luis Lescano, Ecuador. 5) Semana del Acceso Abierto:   Webinar “La indización en la gestión de visibilidad de las revistas”,  Jose Octavio Alonso, México.",https://www.educarchile.cl/desarrollo-profesional/webinars,https://www.educarchile.cl/contact,"0103,0602,0605",,,X,,,,,,,,,,,,,,,,,,X,,,X,,,,,0103,,,,,,,,,,,,,,,,,,0602,,,0605,
 CL,Consejo de Rectores de las Universidades Chilenas (CRUCH),"Es un organismo colegiado, cuyo objetivo es coordinar la labor universitaria del país y mejorar el rendimiento y la calidad de la enseñanza universitaria. Las universidades miembros del CRUCH son las que realizan la mayor parte de la investigación chilena.",https://www.consejoderectores.cl/,cruch@consejoderectores.cl,"0103,0601,0603",,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,0103,,,,,,,,,,,,,,,,,0601,,0603,,,
 CL,Infraestructura Nacional de Acceso a la Investigación (INAI),"Busca establecer una red colaborativa entre la Agencia Nacional de Investigación y Desarrollo (ANID) y todas las universidades públicas y privadas en un esfuerzo conjunto para mejorar el acceso y la gestión de la investigación académica en Chile. A través de esta colaboración, se pretende fortalecer la gobernanza, la calidad de los recursos y la adopción de estándares en el ámbito de la investigación académica en Chile. A través de esta colaboración, se pretende fortalecer la gobernanza, la calidad de los recursos y la adopción de estándares en el ámbito de la investigación.",https://inai.cl/,info@inai.cl,"0104,0603",,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,0104,,,,,,,,,,,,,,,,,,0603,,,
 CL,Acuerdo de Colaboración ANID-Universidades,"Se ha establecido un acuerdo de colaboración entre ANID y todas las universidades, tanto públicas como privadas, con el objetivo de implementar la Red de Apoyo para la Infraestructura Nacional de Acceso. Esta colaboración es esencial para asegurar la participación activa de todas las instituciones en la mejora de la infraestructura de acceso a la investigación. Con ello se crea la  gobernanza en conjunto con las universidades.",falta web,,"0104,0601,0603",,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,,,0104,,,,,,,,,,,,,,,,0601,,0603,,,
 CL,Comités Técnicos,"Se han establecido comités técnicos especializados en contenidos y tecnologías que trabajan en capacitaciones, encuestas y análisis de calidad de metadatos y repositorios en toda la red. Esto garantiza el mantenimiento y mejora continua de los recursos disponibles.",falta web,,"0105,0602",,,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,0105,,,,,,,,,,,,,,,,0602,,,,
 CL,Red de Repositorios,"La INAI comprende una red de repositorios académicos que almacenan y proporcionan acceso a la producción de investigación. Actualmente, 11 repositorios cumplen con estándares de calidad, y se busca ayudar a los demás para que también alcancen estos estándares.",falta web,,"0104,0603",,,,X,,,,,,,,,,,,,,,,,,X,,,,,,,,0104,,,,,,,,,,,,,,,,,,0603,,,
 CL,Repositorio de Producción Científica de la ANID,"Es el repositorio más importante en Chile para albergar, preservar y difundir toda la producción científica financiada por la Agencia.  Este repositorio da cobertura tecnológica al mandato de acceso abierto y a la obligación de los beneficiarios de ayudas gestionadas por ANID de depositar una copia de sus resultados de investigación.",https://repositorio.anid.cl/home,https://repositorio.anid.cl/info/feedback,"0104,0601",,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,0104,,,,,,,,,,,,,,,,0601,,,,,
 CL,InES (Innovación en la Educación Superior),Es un instrumento de financiación otorgado por ANID a 12 universidades en 2021 para fortalecer sus capacidades institucionales en ciencia abierta. Una de las dimensiones más importantes es la implementación de infraestructura tecnológica que cumpla con los estándares internacionales.,https://minciencia.gob.cl/ines/,https://minciencia.gob.cl/contacto/,"0104,0601",,,,X,,,,,,,,,,,,,,,,X,,,,,,,,,,0104,,,,,,,,,,,,,,,,0601,,,,,
 CL,Consorcio ORCID-Chile,"Es un consorcio creado por la ANID junto con 14 universidades en abril de 2022, cuyo objetivo principal es extender el uso de identificadores persistentes en las plataformas digitales de ciencia abierta. Este consorcio brinda la oportunidad de establecer un espacio institucional para el intercambio de experiencias y recursos alineados con los esfuerzos para implementar una infraestructura nacional de acceso a la información científica interoperable y robusta.",https://info.orcid.org/es/al-orcid-chile-consortium-one-year-later/,,"0104,0601,0603",,,,X,,,,,,,,,,,,,,,,X,,X,,,,,,,,0104,,,,,,,,,,,,,,,,0601,,0603,,,
 CL,"El sistema nacional de CTI en Chile está regulado en la Ley 21.105, promulgada en 2018"," Esta deroga la CONICYT y crea el Ministerio de Ciencia, Tecnología, Conocimiento e Innovación y la Agencia Nacional de Investigación y Desarrollo (ANID) para sucederla. ",https://www.bcn.cl/leychile/navegar?idNorma=1121682,https://www.bcn.cl/leychile/consulta/contacto,"0501,0601",,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,,,
 CL,Política nacional de acceso abierto,Mandato exige el depósito en abierto de publicaciones y datos financiados por ANID en repositorios institucionales. Permite también la vía dorada en publicaciones de la red SciELO.,https://acceso-abierto.anid.cl/,https://acceso-abierto.anid.cl/contacto/,"0501,0601",,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,,,
 CL,"El Ministerio de Ciencia, Tecnología, Conocimientos e Innovación (MinCiencia)","Es el organismo de máximo nivel encargado de fomentar el desarrollo de la ciencia, la tecnología, el conocimiento y la innovación a través del diseño, formulación, coordinación, implementación y evaluación de las políticas, planes y programas de CTCI. ",https://www.minciencia.gob.cl/,oficinadepartes@minciencia.gob.cl,"0502,0604",,,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,0502,,,,0604,,
 CL,"La Estrategia Nacional de Ciencia, Tecnología, Conocimiento e Innovación para el Desarrollo",Documento que aborda los desafíos y oportunidades de desarrollo del país y sus regiones. Su razón de ser es generar un marco que oriente las políticas públicas y sus instrumentos de apoyo.,https://docs.consejoctci.cl/documento/estrategia-nacional-de-ciencia-tecnologia-conocimiento-e-innovacion-para-el-desarrollo-de-chile-2022/,consejo@consejoctci.cl,"0501,0601",,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,,,
 CL,"Política Nacional de Ciencia, Tecnología, Conocimiento e Innovación",Documento que establece los objetivos generales de las políticas públicas de CTI para el período presidencial respectivo,https://www.minciencia.gob.cl/politicactci/,https://minciencia.gob.cl/contacto/,"0501,0601",,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,0501,,0601,,,,,
EC,Trabajo conjunto con Senescyt en una hoja de Ruta común en acciones en proyectos enmarcados con La Referencia,Colaboración con Senescyt en el desarrollo de una hoja de ruta que establece acciones y proyectos en línea con los objetivos de La Referencia en el ámbito de la Ciencia Abierta y el Acceso Abierto.,https://www.educacionsuperior.gob.ec/senescyt-y-rectores-del-pais-elaboran-hoja-de-ruta-para-una-distribucion-de-recursos-equitativa/,https://www.trabajo.gob.ec/sistema-contacto-ciudadano-mantenimiento/,"0101,0602,0604",X,,,,,,,,,,,,,,,,,,,,X,,X,,,,0101,,,,,,,,,,,,,,,,,,,,0602,,0604,,
EC,Acercamiento a la Presidenta de RDA US (Rebeca Koskela) gracias al apoyo de Costa Rica (Andrea Mora),"Se logró un acercamiento exitoso a Rebeca Koskela, Presidenta de RDA US, con la ayuda de Andrea Mora de Costa Rica. Este contacto se estableció para fortalecer la colaboración en iniciativas relacionadas con la Ciencia Abierta y el Acceso Abierto, con el objetivo de construir un ecosistema de investigación sólido.",,,"0101,0605",X,,,,,,,,,,,,,,,,,,,,,,,X,,,0101,,,,,,,,,,,,,,,,,,,,,,,0605,
EC,Participación en la escuela de CODATA: São Paulo CODATA-RDA School of Research Data Science,"CEDIA participó activamente en la escuela de CODATA en São Paulo, conocida como la CODATA-RDA School of Research Data Science. Esta participación indica el compromiso de CEDIA con el avance de la Ciencia de Datos y la Investigación.",https://www.ictp-saifr.org/codata-rda22/,secretary@ictp-saifr.org,"0101,0605",X,,,,,,,,,,,,,,,,,,,,,,,X,,,0101,,,,,,,,,,,,,,,,,,,,,,,0605,
EC,Participación en grupos de La Referencia como GT-Evaluación de Investigación y GT-RDA,"CEDIA ha estado involucrado en grupos de trabajo (GT) dentro de La Referencia, específicamente en el Grupo de Trabajo de Evaluación de Investigación (GT-Evaluación de Investigación) y en el Grupo de Trabajo RDA (GT-RDA). Esta participación refleja el interés y la contribución de CEDIA en el desarrollo y mejora de prácticas relacionadas con la investigación y el Acceso Abierto.",,,"0101,0601,0604",X,,,,,,,,,,,,,,,,,,,X,,,X,,,,0101,,,,,,,,,,,,,,,,,,,0601,,,0604,,
EC,Infraestructura tecnológica de Ciencia Abierta y colaboración en proyectos internacionales,"Ecuador está enfocado en desarrollar una infraestructura tecnológica robusta para respaldar la Ciencia Abierta. Además, colabora en proyectos de fondos internacionales para mejorar las plataformas relacionadas con datos e información generados por la comunidad académica y científica en el país.",,,"0601,0604",,,,,,,,,,,,,,,,,,,,X,,,X,,,,,,,,,,,,,,,,,,,,,,,0601,,,0604,,
EC,Red de Repositorio de Acceso Abierto del Ecuador (RRAAE) y Biblioteca Digital Ecuatoriana,"La RRAAE, gestionada por CEDIA, ofrece servicios de recolección y difusión de información digital de acceso abierto de instituciones de educación superior en Ecuador. La Biblioteca Digital Ecuatoriana, a cargo del Consorcio de Bibliotecas Universitarias, actúa como repositorio y ofrece asesoramiento en herramientas bibliográficas y edición académica.",https://rraae.cedia.edu.ec/,info@cedia.org.ec,0602,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,0602,,,,
EC,Financiación colectiva para investigación y Evaluación abierta,"SENESCYT es la institución responsable de financiar actividades de ciencia y tecnología en Ecuador. Ofrece convocatorias públicas para financiar programas de investigación en siete áreas. Además, se lleva a cabo la evaluación del rendimiento científico a través de un sistema de acreditación de investigadores y agentes de innovación.",https://www.educacionsuperior.gob.ec/,,"0304,0603",,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,0304,,,,,,,,,0603,,,
EC,Políticas de Ciencia Abierta en Ecuador,"Ecuador no cuenta con una política nacional de acceso abierto, pero tiene iniciativas importantes en este campo. El Código Orgánico de la Economía Social de los Conocimientos, Creatividad e Innovación establece principios de acceso libre y democrático al conocimiento. El Plan de Ciencia, Tecnología, Innovación y Saberes Ancestrales (CTiySA) incluye acciones para promover políticas de acceso abierto y fomentar la publicación de investigaciones financiadas con fondos públicos en acceso abierto.",https://www.educacionsuperior.gob.ec/senescyt-inicia-la-construccion-del-plan-nacional-de-ciencia-tecnologia-innovacion-y-saberes-ancestrales-2030/,https://aplicaciones.administracionpublica.gob.ec/,"0304,0601",,,,,,,,,,,,,X,,,,,,,X,,,,,,,,,,,,,,,,,,,0304,,,,,,,0601,,,,,
EC,LA Referencia ,"País socio del proyecto LA Referencia, ha generado varias iniciativas nacionales en el tema de Repositorios Institucionales y Acceso Abierto. Es signatario de los principales acuerdos de LA Referencia",https://www.lareferencia.info/es/nodos/ecuador,https://www.lareferencia.info/es/contacto,"0101,0601,0603,0605",X,,,,,,,,,,,,,,,,,,,X,,X,,X,,,0101,,,,,,,,,,,,,,,,,,,0601,,0603,,0605,
ES,Proyecto DIAMAS (Developing Institutional Open Access Publishing Models to Advance Scholarly Communication),"El proyecto DIAMAS es una iniciativa europea que busca fortalecer la publicación institucional de Acceso Abierto en toda Europa. Con la participación de 23 organizaciones de 12 países diferentes, DIAMAS tiene como objetivo trazar el panorama de las revistas diamante en el Espacio Europeo de Investigación y desarrollar normas, directrices y prácticas comunes para el sector de la publicación en Acceso Abierto. Además, se formularán recomendaciones dirigidas a instituciones de investigación para coordinar el apoyo sostenible a las actividades de publicación diamante en Europa",https://diamasproject.eu/,https://diamasproject.eu/contact/,"0101,0601,0604",X,,,,,,,,,,,,,,,,,,,X,,,X,,,,0101,,,,,,,,,,,,,,,,,,,0601,,,0604,,
ES,Implementación de infraestructura tecnológica para la Ciencia Abierta en FECYT,"FECYT, como parte esencial del proyecto DIAMAS, gestiona el recolector ""Recolecta,"" se encarga de la evaluación de revistas y administra el CVN (Currículum Vitae Normalizado). Estos elementos son fundamentales para el desarrollo de la Ciencia Abierta en España y Europa. FECYT trabaja en la certificación de repositorios mediante un validador que utiliza el software de OpenAIRE y busca implementar un modelo de evaluación cualitativa de repositorios para complementar la certificación basada en metadatos.",https://www.fecyt.es/es/noticia/fecyt-se-adhiere-operas-una-infraestructura-de-investigacion-europea-para-la-implementacion,comunicacion@fecyt.es,"0101,0602",X,,,,,,,,,,,,,,,,,,,,X,,,,,,0101,,,,,,,,,,,,,,,,,,,,0602,,,,
ES,Relación entre Europa y Latinoamérica en Ciencia Abierta,"Se destaca la importancia de construir infraestructuras de datos comparables en Latinoamérica a través de colaboraciones como EOSC (European Open Science Cloud) y grandes infraestructuras de generación, preservación y almacenamiento a largo plazo. También se menciona el interés de España en vincular su política de Ciencia Abierta con América Latina.",https://eosc-portal.eu/,https://eosc-portal.eu/contact-us,"0401,0605",,,,,,,,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,0401,,,,,,,,,0605,
ES,Reformas en las políticas de Acceso Abierto en España,"España reformó la Ley de la Ciencia en septiembre de 2022, con un enfoque en Ciencia Abierta que abarca publicaciones, datos, protocolos, metodologías y software. La nueva ley prohíbe la cesión de derechos de propiedad intelectual a favor de las editoriales y elimina el período de embargo, permitiendo el Acceso Abierto inmediato a través de repositorios.",https://www.boe.es/eli/es/l/2022/09/05/17/con,https://www.boe.es/contactar/,"0501,0603",,,,,,,,,,,,,,,,,,X,,,,X,,,,,,,,,,,,,,,,,,,,,,0501,,,,0603,,,
ES,Cooperación entre Europa y Latinoamérica en Acceso Abierto,"Se destaca la importancia de fortalecer las alianzas y la colaboración entre Europa y América Latina en política de Acceso Abierto. Se menciona un trabajo de análisis de las políticas de Acceso Abierto en LATAM, en el que se incluyen recomendaciones para fortalecer las relaciones institucionales y la cooperación.",,,0605,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,0605,
ES,Eventos y estrategias futuras en Ciencia Abierta,"Se prevé la realización del evento ""Open Science Fair"" en Madrid en septiembre de 2023, en el contexto de la presidencia española del Consejo de la Unión Europea. Además, se está trabajando en la elaboración de una Estrategia Nacional de Ciencia Abierta que incluirá medidas, presupuestos e indicadores de seguimiento, y se espera su publicación durante el período de la presidencia española.",,,"0102,0605",,X,,,,,,,,,,,,,,,,,,,,,,X,,,,0102,,,,,,,,,,,,,,,,,,,,,,0605,
ES,LA Referencia ,"España es país socio de LA Referencia a través de la Fundación Española para la Ciencia y Tecnología, F.S.P. (FECYT). La FECYT impulsa el movimiento de acceso abierto en España colaborando en el correcto diseño e implementación de las políticas de acceso abierto y Ciencia Abierta a nivel nacional y europeo.",https://www.lareferencia.info/es/nodos/espana,recolecta@fecyt.es,"0101,0601,0603,0605",x,,,,,,,,,,,,,,,,,,,X,,X,,X,,,0101,,,,,,,,,,,,,,,,,,,0601,,0603,,0605,
UY,Reglamento de Acceso Abierto de la Agencia Nacional de Investigación e Innovación,"En Uruguay, se están empezando a ver los resultados del reglamento de Acceso Abierto de la Agencia Nacional de Investigación e Innovación (ANII). Aunque Uruguay no tiene una política nacional de acceso abierto, tanto ANII como la Universidad de la República (UdelaR) tienen mandatos específicos relacionados con las publicaciones financiadas con fondos públicos. ANII publicó en 2019 su reglamento de Acceso Abierto, que establece la obligación de los beneficiarios de ayudas de depositar sus publicaciones científicas en acceso abierto en el repositorio de su institución o la institución responsable del proyecto. El repositorio debe formar parte del agregador nacional de repositorios de acceso abierto, SILO.",https://www.anii.org.uy/institucional/documentos-de-interes/30/reglamento-de-acceso-abierto/,anii@anii.org.uy,"0101,0102,0304,0403,0502,0601,0604,0606",Producción Científica,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,,Investigación abierta y reproducible,,Cuerpo Normativo Institucional,X,,,X,,X,,0101,0102,,,,,,,,,,,0304,,,,0403,,0502,0601,,,0604,,0606
UY,ANII como impulsora de Acceso Abierto en Uruguay,"ANII desempeña un papel clave en la promoción del Acceso Abierto en Uruguay. Actúa como nodo nacional de LA Referencia y apoya a las instituciones para crear sus propios repositorios. ANII también obliga a los beneficiarios de los fondos de investigación a que sus publicaciones estén en algún repositorio del sistema. La agencia ha logrado que las principales instituciones de investigación tengan sus repositorios, en algunos casos a través de infraestructura proporcionada por ANII.",https://www.anii.org.uy/,anii@anii.org.uy,"0101,0102,0602",Producción Científica,Datos abiertos de investigación,,,,,,,,,,,,,,,,,,,X,,,,,,0101,0102,,,,,,,,,,,,,,,,,,,0602,,,,
UY,Repositorio Nacional de Datos de Investigación en Uruguay,"ANII está trabajando en un proyecto de Repositorio Nacional de Datos de Investigación en Uruguay. Aunque no serán obligatorios como las publicaciones, se ofrecerá capacitación a bibliotecarios, data stewards e investigadores, así como incentivos económicos para quienes presenten planes de datos y publiquen los datos. También se planea establecer un repositorio de datos a nivel nacional.",https://www.anii.org.uy/noticias/253/repositorios-digitales-la-apuesta-de-anii-para-impulsar-la-ciencia-abierta/,anii@anii.org.uy,"0101,0102,0202,0304,0402,0603,0606",Producción Científica,Datos abiertos de investigación,,,,,Financiación colectiva,,,,,,Virtuales,,,Innovación abierta,,,,,,X,,,X,,0101,0102,,,,,0202,,,,,,0304,,,0402,,,,,,0603,,,0606
UY,Interoperabilidad y colaboración,"ANII busca niveles básicos de interoperabilidad con otros sistemas, como CVUY, un sistema nacional de currículos normalizados. También están interesados en trabajar en la certificación de repositorios y en la preservación de los mismos. ANII busca integrar más allá de las publicaciones, incluyendo Policy Papers, productos tecnológicos y otros documentos científicos.",https://www.anii.org.uy/noticias/76/cvuy-se-renueva/,anii@anii.org.uy,"0102,0304,0402,0604,0605,0606",,Datos abiertos de investigación,,,,,,,,,,,Virtuales,,,Innovación abierta,,,,,,,X,X,X,,,0102,,,,,,,,,,,0304,,,0402,,,,,,,0604,0605,0606
UY,Rol de Uruguay en Mercosur y Plan Estratégico de Ciencia y Tecnología,"Uruguay ostenta la presidencia pro tempore del Mercosur y está involucrado en la promoción de la Ciencia Abierta en la región. Se está trabajando en un Plan Estratégico de Ciencia y Tecnología que incluirá un apartado de Ciencia Abierta. Durante el 2022, se llevaron a cabo diversas instancias de difusión para impulsar el tema de la Ciencia Abierta en la comunidad científica uruguaya.",https://www.gub.uy/ministerio-educacion-cultura/comunicacion/noticias/estrategia-ciencia-abierta-para-mercosur,comunicacion@presidencia.gub.uy,"0101,0201,0203,0402,0605,0606",Producción Científica,,,,,Ciencia ciudadana,,Producción colectiva,,,,,,,,Innovación abierta,,,,,,,,X,X,,0101,,,,,0201,,0203,,,,,,,,0402,,,,,,,,0605,0606
UY,LA Referencia ,"País socio del Proyecto LA-Referencia, ha generado iniciativas nacionales en el tema de Repositorios y Acceso Abierto.",https://www.lareferencia.info/es/nodos/uruguay,anii@anii.org.uy,"0101,0102,0103,0304,0602,0605",Producción Científica,Datos abiertos de investigación,Recursos Educativos Abiertos,,,,,,,,,,Virtuales,,,,,,,,X,,,X,,,0101,0102,0103,,,,,,,,,,0304,,,,,,,,0602,,,0605,
PE,Participación de Perú en SciELO y Evaluación de Revistas,Perú lidera el Comité SciELO Perú y está proponiendo aumentar el puntaje de calificación para investigadores Renacyt en revistas que forman parte de SciELO. También se menciona la integración de 282 portales de revistas.,http://www.scielo.org.pe/,soporte.cti@concytec.gob.pe,"0101,0304,0401,0601,0604,0606",Producción Científica,,,,,,,,,,,,Virtuales,,Evaluación abierta de la ciencia,,,,,X,,,X,,X,,0101,,,,,,,,,,,,0304,,0401,,,,,0601,,,0604,,0606
PE,Sistema de Currículums CTI Vitae ,"Sistema que almacena hojas de vida autorreferenciadas. A los usuarios inscritos se les permite participar en los fondos concursables del Concytec, a tráves del Fondecyt y, acceder a bases de datos bibliográficas, redes especializadas y revistas científicas a texto completo.",https://ctivitae.concytec.gob.pe/appDirectorioCTI/DirectorioCTI.do?tipo=registrousuario,dina@concytec.gob.pe,"0101,0103,0401,0603,0606",Producción Científica,,Recursos Educativos Abiertos,,,,,,,,,,,,Evaluación abierta de la ciencia,,,,,,,X,,,X,,0101,,0103,,,,,,,,,,,,0401,,,,,,,0603,,,0606
